search_query,province_search,timestamp,place_id,name,formatted_address,rating,user_ratings_total,lat,lng,business_status,types
pole academy,Las Palmas,2026-06-11 16:40:34.292159,ChIJN7PIj5CVQAwR3lqt2O9aWSc,Crespo Soul,"C. Párroco Francisco Rodríguez Rodríguez, 84, 35010 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,17.0,28.127698,-15.443948,OPERATIONAL,"establishment, point_of_interest"
pole art,Las Palmas,2026-06-11 16:40:35.718329,ChIJOa_fyXiVQAwRLRfr9hMGbeY,No limits Las Palmas Pole Studios,"C. Artemi Semidan, 47, 35009 Las Palmas de Gran Canaria, Las Palmas, Spain",4.9,64.0,28.1514046,-15.4259477,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole school,Las Palmas,2026-06-11 16:40:37.180414,ChIJOa_fyXiVQAwRLRfr9hMGbeY,No limits Las Palmas Pole Studios,"C. Artemi Semidan, 47, 35009 Las Palmas de Gran Canaria, Las Palmas, Spain",4.9,64.0,28.1514046,-15.4259477,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole school,Las Palmas,2026-06-11 16:40:37.180431,ChIJ9RzjalaVQAwRfbosjt2dJco,FitFly Pole & Fitness,"C. Secretario Padilla, 172, 35010 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,18.0,28.129388,-15.4456773,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole school,Las Palmas,2026-06-11 16:40:37.180438,ChIJW4qCzxSVQAwRkednUlA1MRM,Studio 4 Aereal Move,"C. Alemania, 4, 35006 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,20.0,28.1292787,-15.4314727,OPERATIONAL,"establishment, point_of_interest"
pole classes,Las Palmas,2026-06-11 16:40:38.661735,ChIJOa_fyXiVQAwRLRfr9hMGbeY,No limits Las Palmas Pole Studios,"C. Artemi Semidan, 47, 35009 Las Palmas de Gran Canaria, Las Palmas, Spain",4.9,64.0,28.1514046,-15.4259477,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole classes,Las Palmas,2026-06-11 16:40:38.661751,ChIJ9RzjalaVQAwRfbosjt2dJco,FitFly Pole & Fitness,"C. Secretario Padilla, 172, 35010 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,18.0,28.129388,-15.4456773,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole classes,Las Palmas,2026-06-11 16:40:38.661761,ChIJW4qCzxSVQAwRkednUlA1MRM,Studio 4 Aereal Move,"C. Alemania, 4, 35006 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,20.0,28.1292787,-15.4314727,OPERATIONAL,"establishment, point_of_interest"
pole training,Las Palmas,2026-06-11 16:40:40.080426,ChIJOa_fyXiVQAwRLRfr9hMGbeY,No limits Las Palmas Pole Studios,"C. Artemi Semidan, 47, 35009 Las Palmas de Gran Canaria, Las Palmas, Spain",4.9,64.0,28.1514046,-15.4259477,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole training,Las Palmas,2026-06-11 16:40:40.080441,ChIJ9RzjalaVQAwRfbosjt2dJco,FitFly Pole & Fitness,"C. Secretario Padilla, 172, 35010 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,18.0,28.129388,-15.4456773,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole training,Las Palmas,2026-06-11 16:40:40.080448,ChIJW4qCzxSVQAwRkednUlA1MRM,Studio 4 Aereal Move,"C. Alemania, 4, 35006 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,20.0,28.1292787,-15.4314727,OPERATIONAL,"establishment, point_of_interest"
aerial pole,Las Palmas,2026-06-11 16:40:41.603779,ChIJ0ZfAkQ6VQAwRZbo4U6y1Nqs,Las Palmas de Gran Canaria,"Las Palmas de Gran Canaria, Las Palmas, Spain",,,28.1235459,-15.4362574,,"locality, political"
aerial dance,Las Palmas,2026-06-11 16:40:43.165867,ChIJOa_fyXiVQAwRLRfr9hMGbeY,No limits Las Palmas Pole Studios,"C. Artemi Semidan, 47, 35009 Las Palmas de Gran Canaria, Las Palmas, Spain",4.9,64.0,28.1514046,-15.4259477,OPERATIONAL,"establishment, gym, health, point_of_interest"
aerial dance,Las Palmas,2026-06-11 16:40:43.165879,ChIJz-19LBWVQAwRiw9yT5r65Xk,LiberArteGc,"C. Granadera Canaria, 12, 35001 Las Palmas de Gran Canaria, Las Palmas, Spain",4.9,31.0,28.0966656,-15.41318,OPERATIONAL,"establishment, point_of_interest"
aerial dance,Las Palmas,2026-06-11 16:40:43.165885,ChIJW4qCzxSVQAwRkednUlA1MRM,Studio 4 Aereal Move,"C. Alemania, 4, 35006 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,20.0,28.1292787,-15.4314727,OPERATIONAL,"establishment, point_of_interest"
aerial dance,Las Palmas,2026-06-11 16:40:43.165891,ChIJ9RzjalaVQAwRfbosjt2dJco,FitFly Pole & Fitness,"C. Secretario Padilla, 172, 35010 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,18.0,28.129388,-15.4456773,OPERATIONAL,"establishment, gym, health, point_of_interest"
aerial dance,Las Palmas,2026-06-11 16:40:43.165898,ChIJpZufa8SVQAwR4UJaPYrA_Hs,Miyono Acrobatics & Arucas Dance Studio,"C. Brunete, 57, 35411 Arucas, Las Palmas, Spain",5.0,6.0,28.113641,-15.5100029,OPERATIONAL,"establishment, point_of_interest"
aerial dance,Las Palmas,2026-06-11 16:40:43.165905,ChIJ8WSWBnqVQAwRP4phz8oSKQQ,Escuela de Circo MSB - Sede Zona Aérea,"C. Wenceslao Perdomo, 9, 35007 Las Palmas de Gran Canaria, Las Palmas, Spain",4.6,25.0,28.1365263,-15.4325981,OPERATIONAL,"establishment, point_of_interest"
aerial dance,Las Palmas,2026-06-11 16:40:43.165914,ChIJw2YZum2VQAwRMnVb7CYW-CI,EL ALMACÉN DLISEF,"C. Albert Einstein, 16A, 35013 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,2.0,28.0930059,-15.450836,OPERATIONAL,"establishment, point_of_interest"
aerial dance,Las Palmas,2026-06-11 16:40:43.165921,ChIJRaUXz4-VQAwRj9drargiYDU,Academia de Baile y Teatro Syparyo,"C. Gral. Bravo, 13, 35002 Las Palmas de Gran Canaria, Las Palmas, Spain",4.9,104.0,28.1042175,-15.4178069,OPERATIONAL,"establishment, point_of_interest"
aerial dance,Las Palmas,2026-06-11 16:40:43.165925,ChIJN7PIj5CVQAwR3lqt2O9aWSc,Crespo Soul,"C. Párroco Francisco Rodríguez Rodríguez, 84, 35010 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,17.0,28.127698,-15.443948,OPERATIONAL,"establishment, point_of_interest"
pole and aerial,Las Palmas,2026-06-11 16:40:44.701005,ChIJOa_fyXiVQAwRLRfr9hMGbeY,No limits Las Palmas Pole Studios,"C. Artemi Semidan, 47, 35009 Las Palmas de Gran Canaria, Las Palmas, Spain",4.9,64.0,28.1514046,-15.4259477,OPERATIONAL,"establishment, gym, health, point_of_interest"
